Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
China,Aruba,1992,Exports & Imports,29,8,0.61,0.16,3725.34,3843.65,118.31,0,0,28.75,28.01,9,100,0,0,0,70,15,0,118.3,0,28.75,28.01,9,100,0,0,0,70,15,0,118.3,0,
China,Afghanistan,1992,Exports & Imports,120,31,2.51,0.63,21552.29,23605.17,2052.88,0,0.03,33.59,34.6,41,97.56,2.44,0,0,80,0,0,2052.88,0,33.59,34.6,41,97.56,2.44,0,0,80,0,0,2052.88,0,
China,Angola,1992,Exports & Imports,59,4,1.24,0.08,-20936.36,8472.85,29409.21,0.04,0.01,27.81,3.13,14,100,0,0,0,60,3,0,29409.21,0,27.81,3.13,14,100,0,0,0,60,3,0,29409.21,0,
China,Albania,1992,Exports & Imports,40,8,0.84,0.16,1384.78,1586.6,201.82,0,0,40.22,23.73,17,100,0,0,0,80,6,0,201.82,0,40.22,23.73,17,100,0,0,0,80,6,0,201.82,0,
China,Andorra,1992,Exports & Imports,20,7,0.42,0.14,-39.96,662,701.96,0,0,28.51,16.41,22,100,0,0,0,100,3,0,701.96,0,28.51,16.41,22,100,0,0,0,100,3,0,701.96,0,
China,Netherlands Antilles,1992,Exports & Imports,36,6,0.75,0.12,948.55,1494.11,545.57,0,0,52.71,31.79,7,100,0,0,0,100,7.5,0,545.57,0,52.71,31.79,7,100,0,0,0,100,7.5,0,545.57,0,
China,United Arab Emirates,1992,Exports & Imports,1294,36,27.09,0.73,477435.7,542953.73,65518.02,0.08,0.64,35,5.32,42,95.24,4.76,0,0,100,0,0,65348.52,169.5,35,5.32,42,95.24,4.76,0,0,100,0,0,65348.52,169.5,
China,Argentina,1992,Exports & Imports,716,110,14.99,2.23,-75976.74,124141.24,200117.98,0.25,0.15,32.72,18.08,150,97.33,2.67,0,0,150,0,0,198618.53,1.27,32.72,18.08,150,97.33,2.67,0,0,150,0,0,198618.53,1.27,
China,Antigua and Barbuda,1992,Exports & Imports,16,8,0.33,0.16,349.97,584.75,234.78,0,0,28.71,20.36,8,100,0,0,0,60,9,0,148.61,0,28.71,20.36,8,100,0,0,0,60,9,0,148.61,0,
China,Australia,1992,Exports & Imports,1889,1176,39.54,23.87,-1010316.61,660796.35,1671112.96,2.07,0.78,36.75,12.12,1598,96.81,3.19,0,0,150,0,0,1170426.19,500044.42,36.75,12.12,1598,96.81,3.19,0,0,150,0,0,1170426.19,500044.42,
China,Austria,1992,Exports & Imports,556,538,11.64,10.92,-251875.85,69531.35,321407.2,0.4,0.08,29.73,28.65,788,99.49,0.51,0,0,150,0,0,321392.79,14.4,29.73,28.65,788,99.49,0.51,0,0,150,0,0,321392.79,14.4,
China,Azerbaijan,1992,Exports & Imports,28,5,0.59,0.1,639.44,1064.32,424.88,0,0,37.48,20.77,11,100,0,0,0,100,9,0,424.88,0,37.48,20.77,11,100,0,0,0,100,9,0,424.88,0,
China,Burundi,1992,Exports & Imports,129,2,2.7,0.04,3580.33,3600.89,20.56,0,0,17.63,16.9,5,100,0,0,0,25,12,0,20.56,0,17.63,16.9,5,100,0,0,0,25,12,0,20.56,0,
China,Benin,1992,Exports & Imports,121,2,2.53,0.04,21644.43,22190.3,545.87,0,0.03,3,3,2,100,0,0,0,3,3,0,545.87,0,3,3,2,100,0,0,0,3,3,0,545.87,0,
China,Burkina Faso,1992,Exports & Imports,25,1,0.52,0.02,-10278.45,2499.75,12778.21,0.02,0,3,3,1,100,0,0,0,3,3,0,12778.21,0,3,3,1,100,0,0,0,3,3,0,12778.21,0,
China,Bangladesh,1992,Exports & Imports,969,40,20.28,0.81,208825.03,214769.73,5944.7,0.01,0.25,42.63,22.42,67,97.01,2.99,0,0,100,0,0,5944.7,0,42.63,22.42,67,97.01,2.99,0,0,100,0,0,5944.7,0,
China,Bulgaria,1992,Exports & Imports,179,32,3.75,0.65,-38586,19801.63,58387.63,0.07,0.02,16.27,7.61,39,97.44,2.56,0,0,50,0,0,58270.51,117.13,16.27,7.61,39,97.44,2.56,0,0,50,0,0,58270.51,117.13,
China,Bahrain,1992,Exports & Imports,364,11,7.62,0.22,7909.93,9998.07,2088.14,0,0.01,25.35,11.14,17,100,0,0,0,60,6,0,2088.14,0,25.35,11.14,17,100,0,0,0,60,6,0,2088.14,0,
China,Belarus,1992,Exports & Imports,127,38,2.66,0.77,-42772.82,9017.51,51790.34,0.06,0.01,21.42,8.47,58,98.28,1.72,0,0,100,0,0,49983.95,1723.08,21.42,8.47,58,98.28,1.72,0,0,100,0,0,49983.95,1723.08,
China,Belgium-Luxembourg,1992,Exports & Imports,1186,801,24.83,16.26,70867.36,540981.89,470114.53,0.58,0.64,30.1,19.96,1164,99.31,0.69,0,0,180,0,0,470020.29,38.82,30.1,19.96,1164,99.31,0.69,0,0,180,0,0,470020.29,38.82,
China,Bermuda,1992,Exports & Imports,5,5,0.1,0.1,-70.89,19.04,89.93,0,0,15.4,10.08,8,100,0,0,0,30,6,0,89.93,0,15.4,10.08,8,100,0,0,0,30,6,0,89.93,0,
China,Brazil,1992,Exports & Imports,357,360,7.47,7.31,-454550.34,64751.74,519302.08,0.64,0.08,33.19,11.18,520,99.04,0.96,0,0,180,0,0,365893.28,152801.85,33.19,11.18,520,99.04,0.96,0,0,180,0,0,365893.28,152801.85,
China,Brunei,1992,Exports & Imports,141,8,2.95,0.16,5138.7,10265.91,5127.2,0.01,0.01,33.5,3.39,8,100,0,0,0,70,3,0,5127.2,0,33.5,3.39,8,100,0,0,0,70,3,0,5127.2,0,
China,Central African Republic,1992,Exports & Imports,5,2,0.1,0.04,152.77,161.29,8.53,0,0,50,52.77,2,100,0,0,0,80,20,0,8.53,0,50,52.77,2,100,0,0,0,80,20,0,8.53,0,
China,Canada,1992,Exports & Imports,1548,1049,32.41,21.3,-1273338.94,653178.05,1926516.99,2.39,0.77,35.45,9.76,1488,97.98,2.02,0,0,220,0,0,1062766.49,863634.11,35.45,9.76,1488,97.98,2.02,0,0,220,0,0,1062766.49,863634.11,
China,Switzerland,1992,Exports & Imports,678,1170,14.19,23.75,-363772.8,159871.01,523643.81,0.65,0.19,33.73,23.87,1654,99.27,0.73,0,0,180,0,0,515903.25,110.77,33.73,23.87,1654,99.27,0.73,0,0,180,0,0,515903.25,110.77,
China,Chile,1992,Exports & Imports,888,51,18.59,1.04,-281495.95,128144.27,409640.22,0.51,0.15,23.91,5.85,63,92.06,7.94,0,0,80,0,0,368206.82,41433.42,23.91,5.85,63,92.06,7.94,0,0,80,0,0,368206.82,41433.42,
China,Cote d'Ivoire,1992,Exports & Imports,184,5,3.85,0.1,25710.41,28047.72,2337.31,0,0.03,9.8,15.51,6,100,0,0,0,25,3,0,2337.31,0,9.8,15.51,6,100,0,0,0,25,3,0,2337.31,0,
China,Cameroon,1992,Exports & Imports,184,3,3.85,0.06,-6450.26,9591.5,16041.75,0.02,0.01,37.33,3.04,3,100,0,0,0,100,3,0,16041.75,0,37.33,3.04,3,100,0,0,0,100,3,0,16041.75,0,
China,"Congo, Rep.",1992,Exports & Imports,81,11,1.7,0.22,5438.8,5879.87,441.07,0,0.01,24.58,23.22,15,100,0,0,0,60,9,0,298.5,0,24.58,23.22,15,100,0,0,0,60,9,0,298.5,0,
China,Cook Islands,1992,Exports & Imports,12,5,0.25,0.1,-602.88,157.37,760.25,0,0,20,19.02,6,83.33,16.67,0,0,40,0,0,614.21,146.04,20,19.02,6,83.33,16.67,0,0,40,0,0,614.21,146.04,
China,Colombia,1992,Exports & Imports,171,23,3.58,0.47,-9736.49,13307.18,23043.67,0.03,0.02,35.42,14.04,28,100,0,0,0,100,3,0,23043.67,0,35.42,14.04,28,100,0,0,0,100,3,0,23043.67,0,
China,Comoros,1992,Exports & Imports,38,3,0.8,0.06,3105.47,3143.45,37.98,0,0,58.33,33.19,3,100,0,0,0,80,25,0,37.98,0,58.33,33.19,3,100,0,0,0,80,25,0,37.98,0,
China,Costa Rica,1992,Exports & Imports,126,3,2.64,0.06,3563.27,4864.58,1301.31,0,0.01,25,22.05,4,75,25,0,0,60,0,0,1301.31,0,25,22.05,4,75,25,0,0,60,0,0,1301.31,0,
China,Czechoslovakia,1992,Exports & Imports,239,185,5,3.76,-138084.62,37624.66,175709.28,0.22,0.04,29.95,23.53,298,99.33,0.67,0,0,180,0,0,175707.57,1.71,29.95,23.53,298,99.33,0.67,0,0,180,0,0,175707.57,1.71,
China,Cuba,1992,Exports & Imports,364,8,7.62,0.16,17388.58,200229.71,182841.14,0.23,0.24,21.03,29.85,24,100,0,0,0,60,3,0,182841.12,0,21.03,29.85,24,100,0,0,0,60,3,0,182841.12,0,
China,Cayman Islands,1992,Exports & Imports,2,2,0.04,0.04,28.87,34.51,5.64,0,0,70,90.99,3,100,0,0,0,120,30,0,5.64,0,70,90.99,3,100,0,0,0,120,30,0,5.64,0,
China,Cyprus,1992,Exports & Imports,363,8,7.6,0.16,32061.46,35269.06,3207.6,0,0.04,20.77,16.69,31,100,0,0,0,80,6,0,3207.6,0,20.77,16.69,31,100,0,0,0,80,6,0,3207.6,0,
China,Germany,1992,Exports & Imports,2069,2700,43.31,54.81,-1567013.63,2447975.42,4014989.06,4.98,2.88,38.11,41.22,3552,99.07,0.93,0,0,220,0,0,4002317.49,7226.89,38.11,41.22,3552,99.07,0.93,0,0,220,0,0,4002317.49,7226.89,
China,Djibouti,1992,Exports & Imports,167,1,3.5,0.02,15894.88,15901.25,6.37,0,0.02,100,100,1,100,0,0,0,100,100,0,6.37,0,100,100,1,100,0,0,0,100,100,0,6.37,0,
China,Dominica,1992,Exports & Imports,137,8,2.87,0.16,7098.52,7133.35,34.83,0,0.01,46.31,32.46,17,94.12,5.88,0,0,100,0,0,34.83,0,46.31,32.46,17,94.12,5.88,0,0,100,0,0,34.83,0,
China,Denmark,1992,Exports & Imports,771,658,16.14,13.36,12829.78,152043.12,139213.34,0.17,0.18,37.97,28.48,946,99.26,0.74,0,0,150,0,0,139162.39,14.21,37.97,28.48,946,99.26,0.74,0,0,150,0,0,139162.39,14.21,
China,Dominican Republic,1992,Exports & Imports,171,2,3.58,0.04,20166.88,20172.82,5.94,0,0.02,22.5,22.79,2,100,0,0,0,25,20,0,5.94,0,22.5,22.79,2,100,0,0,0,25,20,0,5.94,0,
China,Algeria,1992,Exports & Imports,106,9,2.22,0.18,24642.16,27338.32,2696.15,0,0.03,40.78,6.72,11,90.91,9.09,0,0,70,0,0,2696.15,0,40.78,6.72,11,90.91,9.09,0,0,70,0,0,2696.15,0,
China,East Asia & Pacific,1992,Exports & Imports,4653,4719,97.4,95.8,14586042.24,58264170.39,43678128.15,54.2,68.59,42.36,37.75,26930,98.63,1.37,0,0,220,0,0,42492322.75,701517.16,42.49,37.75,5908,98.39,1.61,0,0,220,0,0,42492322.75,701517.16,
China,Europe & Central Asia,1992,Exports & Imports,3504,3854,73.35,78.24,-4660576.85,10892261.58,15552838.42,19.3,12.82,35.46,27.45,22689,99.03,0.97,0,0,220,0,0,15256229.36,249848.85,39.51,27.45,4917,98.56,1.44,0,0,220,0,0,15256229.36,249848.85,
China,Ecuador,1992,Exports & Imports,304,3,6.36,0.06,13959.19,17474.01,3514.82,0,0.02,19.67,29.58,6,100,0,0,0,30,6,0,3514.82,0,19.67,29.58,6,100,0,0,0,30,6,0,3514.82,0,
China,"Egypt, Arab Rep.",1992,Exports & Imports,716,8,14.99,0.16,173470.85,174559.71,1088.87,0,0.21,17.14,7.51,26,100,0,0,0,60,3,0,1088.87,0,17.14,7.51,26,100,0,0,0,60,3,0,1088.87,0,
China,Spain,1992,Exports & Imports,1210,509,25.33,10.33,-2193.79,353482.24,355676.03,0.44,0.42,32.58,20.14,749,98.93,1.07,0,0,180,0,0,355613.72,42.98,32.58,20.14,749,98.93,1.07,0,0,180,0,0,355613.72,42.98,
China,Estonia,1992,Exports & Imports,85,27,1.78,0.55,-12346.18,7418.53,19764.71,0.02,0.01,25.16,10.02,45,100,0,0,0,80,3,0,19764.71,0,25.16,10.02,45,100,0,0,0,80,3,0,19764.71,0,
China,Finland,1992,Exports & Imports,612,378,12.81,7.67,-159652.12,92628.01,252280.13,0.31,0.11,33.53,20.15,571,99.12,0.88,0,0,180,0,0,251963.44,245.66,33.53,20.15,571,99.12,0.88,0,0,180,0,0,251963.44,245.66,
China,Fiji,1992,Exports & Imports,454,7,9.5,0.14,7049.6,16026.66,8977.06,0.01,0.02,25.79,30.04,10,100,0,0,0,60,12,0,8977.05,0,25.79,30.04,10,100,0,0,0,60,12,0,8977.05,0,
China,France,1992,Exports & Imports,1465,1695,30.67,34.41,-731256.96,764203.26,1495460.22,1.86,0.9,37.13,42.01,2338,98.67,1.33,0,0,220,0,0,1319782.32,175384.9,37.13,42.01,2338,98.67,1.33,0,0,220,0,0,1319782.32,175384.9,
China,Free Zones,1992,Exports & Imports,,1500,,30.45,,,178874,0.22,,46.9,45.94,2078,98.75,1.25,0,0,180,0,0,172838.77,2951.06,46.9,45.94,2078,98.75,1.25,0,0,180,0,0,172838.77,2951.06,
China,Gabon,1992,Exports & Imports,70,3,1.47,0.06,-46713.24,1525.81,48239.05,0.06,0,15.4,1.93,7,85.71,14.29,0,0,30,0,0,5272.38,42966.66,15.4,1.93,7,85.71,14.29,0,0,30,0,0,5272.38,42966.66,
China,United Kingdom,1992,Exports & Imports,1739,1973,36.4,40.05,-90750.21,922826.94,1013577.15,1.26,1.09,36.89,24.73,2706,98.78,1.22,0,0,220,0,0,1002542.6,10161.46,36.89,24.73,2706,98.78,1.22,0,0,220,0,0,1002542.6,10161.46,
China,Georgia,1992,Exports & Imports,8,8,0.17,0.16,741.53,2206.94,1465.41,0,0,20.91,15.41,10,100,0,0,0,60,5,0,1465.41,0,20.91,15.41,10,100,0,0,0,60,5,0,1465.41,0,
China,Ghana,1992,Exports & Imports,330,14,6.91,0.28,18653.11,23958.69,5305.58,0.01,0.03,50.25,8.27,17,94.12,5.88,0,0,150,0,0,2202.93,3102.65,50.25,8.27,17,94.12,5.88,0,0,150,0,0,2202.93,3102.65,
China,Gibraltar,1992,Exports & Imports,82,6,1.72,0.12,5403.18,5498.15,94.96,0,0.01,29.56,38.96,10,100,0,0,0,70,12,0,94.96,0,29.56,38.96,10,100,0,0,0,70,12,0,94.96,0,
China,Guinea,1992,Exports & Imports,161,4,3.37,0.08,30562.78,30725.25,162.47,0,0.04,26.3,13.46,10,100,0,0,0,70,3,0,162.47,0,26.3,13.46,10,100,0,0,0,70,3,0,162.47,0,
China,"Gambia, The",1992,Exports & Imports,168,2,3.52,0.04,51815.26,51930.18,114.92,0,0.06,37.5,27.4,3,66.67,33.33,0,0,50,0,0,114.92,0,37.5,27.4,3,66.67,33.33,0,0,50,0,0,114.92,0,
