,Length of High Speed Railway in Operation (km),As Percentage of Total Railway Length (%),"Passenger Traffic (10,000 persons)",As Percentage of Total Railway Traffic (%),Passenger-Kilometers (100 million person-km),As Percentage of Total Railway Passenger-Kilometers (%)
2008,671.5,0.84267,734,0.5,15.6,0.2
2009,2698.7,3.15571,4651,3.1,162.2,2.1
2010,5133.4,5.63006,13323,8,463.2,5.3
2011,6601,7.07885,28552,15.8,1058.4,11
2012,9356,9.58356,38815,20.5,1446.1,14.7
2013,11028,10.69178,52962,25.1,2141.1,20.2
2014,16456,14.7,70378,30.5,2825,25.1
2015,19838,16.39905,96139,37.9,3863.4,32.3
2016,22980,18.53347,122128,43.4,4641,36.9
2017,25163.8,19.81872,175215.5394,56.81818,5875.60115,43.6623
2018,29903.8,22.7144,205430.4904,60.86925,6871.91018,48.57647
2019,35388.3,25.29065,235832.6387,64.43475,7746.66872,52.67463
2020,37929.005,25.92011,155707.3652,70.66369,4844.86581,58.61063
