iso3,country,pillar,module,indicator_id,indicator_name,indicator_type,variable_name,question,hierarchy_level,data_type,response,response_value,normalized_response_value,weight,score,parent,row_order,question_order,wip,wib,wim,regional_hub,un_region,barometer_region
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL,"To what extent do relevant laws, regulations, policies, and guidance provide a comprehensive framework for protection of personal data?",1,response,,,,,33.300000000000004,G.GOVERNANCE.DPL,0.0,50948,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL,"To what extent do relevant laws, regulations, policies, and guidance provide a comprehensive framework for protection of personal data?",1,justification,"China currently has no single law in effective providing an comprehensive framework regulating personal information protection yet though the ""Personal Information Protection Law"" (1) has been drafted for public consultation for two rounds during 2020-2021 and a third and final draft is expected to be reviewed in August 2021 and is expected to be passed within 2021. 

In addition to the ""Personal Information Protection Law"", the framework on personal information protection has been dramatically developed in recent years especially during the period from 2016 to 2021. The ""CyberSecurity law""  effective in 2017 (2), ""Information Security Technology — Personal Information Security Specification""(3) effective in 2020 and  ""Civil Code"" (4) effective in 2021 as well as other fragmented sector-specific or issue-specific regulations, guidelines and specifications all together already make a robust and strong framework for personal information protection. The Cybersecurity Law sets out the legal principles and high-level requirements on protection of personal data collected and / or processed via the networks operators.  And the Article 111 of the Civil Code sets out the basic principle that natural person's personal data shall be protected by law; any organization and individuals must collect personal data after obtaining the personal data subject's consent and conduct the collection according to the law; they shall ensure the security of the personal data collected; illegal collection, using, processing and transmitting of others' personal data, illegal transaction of selling / purchasing personal data, and illegal provision / disclosure of personal data shall be prohibited.

Key elements of Personal Information Protection are discussed below:

- Choice and consent: The Civil Code Chapter 6 ""Privacy and Personal Information Protection"" layouts the general foundation and guidelines for personal information processing stating that first an individual must be well informed of the purposes and procedures of processing personal information and second an explicit consent must be obtained to legally process personal information . The Cybersecurity law (Article 41) and the draft of Personal Information Protection Law (Article 13) also provides similar statements. The Article 17 of the drafted Personal Information Protection Law also empowers the individual to access to service even without giving any consent to process personal information whenever it's possible.

Above frameworks also layouts exceptions for consent if allowed by relevant laws and regulations : for instance under the condition of a national security or public health emergency case, or  news report that is relevant to public interest.
- Access and correction: The Civil Code Article 1037 empowers people the right to access and copy own personal information and has the right to correct and ask to delete information. The draft of Personal Information Protection Law specifies the data subject's right to access and correct own information. The article 44-45 grants the data subject's the right to know what information is held by the data handler and has the right to access. The article 46-47 empowers the data subject to correct and even delete relevant personal information. 
- Responsibilities on data holders:
[a] taking steps to ensure personal information is updated and accurate; 
The Article 8 of the draft Personal Information Protection Law states a general principle for personal information processing that high data quality is required so data should be accurate and up-to-date to avoid any possible negative impact on personal rights. 
[b] limiting access to personal data in accordance with its intended use; 
The Article 14 of the draft Personal Information Protection Law requires that the data holder must re-obtain consent if the purpose of collecting and using personal information has been changed. Article 22 further requires that the data holder should be responsible for limiting the data access and use if the third party is contracted to process personal information.
[c] only transferring data to third-parties if there are assurances they will also respect data protection rights
Article 23-24 requires that if transferring data to third-parties is necessary then the transfer should be agreed with the data subject and the third parties should process data under the original agreed purpose. If it is necessary to change the purpose of use, then new consent must be obtained. 
[d] destroying or anonymising data after it is no longer needed for its original intended use.
Article 47 of draft Personal Information Protection Law  requires that data holder should proactively delete personal information if it is no longer needed for its original intended use.
- Rights of redress:
The Article 68 and 69 of draft Personal Information Protection Law empowers individual to ask compensation if personal informoation processing leads to any negative impact on the individual. In the case of multiple individuals or a collective are affected,  then relevant agency or authority has the right to sue the data holder on behalf of the group of individuals. 
The independent oversight however is only limited to the designated authority while there is no specific Articles encourage civic society orgnaization to provide independent oversight. 
- Breach notification:
The Article 56 of draft Personal Information Protection Law requires that data holder should report the breach immediately to the individual and relevant agency and explain what information are breached and possible negative impact and consequences, why and how the information are breached, what has been done to minimize the negative impact and what actions are suggested to the impacted individuals.
The similar requirements were also covered by the Article 42 of Cybersecurity law, the section 10.2 of Personal Information Security Specification and Article 1038 of Civil Code.
- Location data:
The location-related data is covered in the definition of what is personal information. The Civil law defined personal information includes personal location history information. 
- Algorithmic decision-making:
The Article 55 of draft Personal Information Protection Law  requires that data holders should conduct risk assessment  before employing any algorithmic decision making and keep assessment records for at least three years. 
The Article 25 of draft Personal Information Protection Law requires the transparency and fairness of decision made by algorithmic system. It further empowers individuals to receive alternative decisions not based upon personal information,  seek explanation and refuse any decisions solely made by algorithmic system. 



(1) 个人信息保护法草案(二审),Draft Personal Information Protection Law (Second Draft),https://www.sohu.com/a/463852112_120076174 (link to a version comparing the first draft with second draft for easy reference)
(2) 信息安全技术个人信息安全规范, ""Information Security Technology — Personal Information Security Specification"",https://www.tc260.org.cn/upload/2018-01-24/1516799764389090333.pdf
(3) 中华人民共和国网络安全法, Cybersecurity Law,http://www.cac.gov.cn/2016-11/07/c_1119867116.htm
(4)中华人民共和国民法典, Civil Code of People's Republic of China, http://www.npc.gov.cn/npc/c30834/202006/75ba6483b8344591abd07917e1d25cc8.shtml",,,,,G.GOVERNANCE.DPL,1.0,50948,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL,1,1,example,[Draft Personal Information Protection Law (Second Draft)](https://www.sohu.com/a/463852112_120076174),,,,,G.GOVERNANCE.DPL,3.0,50948,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL,2,1,example,[Information Security Technology — Personal Information Security Specification](https://www.tc260.org.cn/upload/2018-01-24/1516799764389090333.pdf),,,,,G.GOVERNANCE.DPL,3.1,50948,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL,3,1,example,[Cybersecurity Law](http://www.cac.gov.cn/2016-11/07/c_1119867116.htm),,,,,G.GOVERNANCE.DPL,3.2,50948,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL,4,1,example,[Civil Code of People's Republic of China](http://www.npc.gov.cn/npc/c30834/202006/75ba6483b8344591abd07917e1d25cc8.shtml),,,,,G.GOVERNANCE.DPL,3.3,50948,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a,Existence,2,response,,,,1.0,1.0,G.GOVERNANCE.DPL,0.0,50949,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a.EXISTS,What is the nature of the framework?,4,response,A framework exists and has the force of law.,2,1.0,,,G.GOVERNANCE.DPL.a,0.0,50950,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.a.EXISTS,2;Please identify the framework(s) you have assessed (e.g. name of law(s) or regulations),4,supporting,"China currently has no single law in effective providing an comprehensive framework regulating personal information protection yet though the ""Personal Information Protection Law"" (1) has been drafted for public consultation for two rounds during 2020-2021 and a third and final draft is expected to be reviewed in August 2021 and is expected to be passed within 2021. 

Prior to the development of the ""Personal Information Protection Law"", the protection of personal information or data is mainly covered by the ""CyberSecurity law"" (2) and ""Civil Code"" (3) as well as other fragmented sector-specific or issue-specific regulations and guidelines.  The Cybersecurity Law sets out the legal principles and high-level requirements on protection of personal data collected and / or processed via the networks operators.  And the Article 111 of the Civil Code sets out the basic principle that natural person's personal data shall be protected by law; any organization and individuals must collect personal data after obtaining the personal data subject's consent and conduct the collection according to the law; they shall ensure the security of the personal data collected; illegal collection, using, processing and transmitting of others' personal data, illegal transaction of selling / purchasing personal data, and illegal provision / disclosure of personal data shall be prohibited.",,,,,G.GOVERNANCE.DPL.a,2.1,50950,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e,Elements,2,response,,,,100.0,37.0,G.GOVERNANCE.DPL,0.0,50951,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
